index,source_name,time(MJD),src_raj,f_range(MHz),RFI(MHz)
46,J0918-1205,2020-07-16T14:37:11.000,8h26m01.91s,"(910.126953125, 1649.931640625)","[[910.126953125, 940.4296875], [941.056640625, 941.474609375], [941.892578125, 943.7734375], [946.490234375, 946.69921875], [947.326171875, 947.744140625], [948.162109375, 948.37109375], [950.87890625, 950.87890625], [955.267578125, 955.267578125], [955.685546875, 975.330078125], [975.748046875, 975.748046875], [976.375, 976.375], [977.001953125, 977.2109375], [977.62890625, 977.62890625], [978.046875, 978.673828125], [979.091796875, 979.509765625], [979.927734375, 982.017578125], [982.435546875, 985.98828125], [986.40625, 1021.306640625], [1021.724609375, 1024.0234375], [1024.859375, 1025.486328125], [1026.322265625, 1026.322265625], [1107.826171875, 1108.03515625], [1127.470703125, 1127.6796875], [1145.443359375, 1149.83203125], [1150.25, 1151.921875], [1160.28125, 1162.162109375], [1167.595703125, 1184.94140625], [1189.12109375, 1193.091796875], [1194.5546875, 1194.5546875], [1198.107421875, 1198.107421875], [1198.525390625, 1251.189453125], [1251.607421875, 1256.205078125], [1259.966796875, 1282.537109375], [1285.671875, 1292.150390625], [1348.78515625, 1348.78515625], [1349.62109375, 1349.830078125], [1350.45703125, 1350.45703125], [1351.29296875, 1351.29296875], [1351.7109375, 1352.337890625], [1352.96484375, 1352.96484375], [1353.591796875, 1354.427734375], [1354.845703125, 1355.681640625], [1356.099609375, 1356.517578125], [1356.935546875, 1357.98046875], [1358.3984375, 1358.607421875], [1359.234375, 1365.921875], [1366.33984375, 1392.671875], [1393.298828125, 1394.76171875], [1396.015625, 1396.015625], [1420.2578125, 1420.2578125], [1483.580078125, 1483.580078125], [1484.20703125, 1484.20703125], [1486.087890625, 1486.087890625], [1486.505859375, 1486.505859375], [1487.759765625, 1487.759765625], [1488.177734375, 1488.595703125], [1489.013671875, 1489.013671875], [1489.431640625, 1489.431640625], [1489.849609375, 1489.849609375], [1490.267578125, 1493.611328125], [1494.029296875, 1497.1640625], [1497.58203125, 1497.58203125], [1498.0, 1498.0], [1498.41796875, 1499.25390625], [1499.671875, 1501.34375], [1501.76171875, 1502.388671875], [1502.806640625, 1503.015625], [1503.43359375, 1503.43359375], [1503.8515625, 1503.8515625], [1504.26953125, 1506.150390625], [1506.568359375, 1509.494140625], [1509.912109375, 1510.12109375], [1512.62890625, 1512.62890625], [1523.705078125, 1523.705078125], [1525.16796875, 1525.5859375], [1526.00390625, 1528.302734375], [1529.138671875, 1529.138671875], [1529.974609375, 1529.974609375], [1530.392578125, 1530.392578125], [1530.810546875, 1531.01953125], [1532.064453125, 1532.064453125], [1532.69140625, 1532.69140625], [1533.52734375, 1533.52734375], [1534.154296875, 1534.154296875], [1534.78125, 1535.826171875], [1536.244140625, 1536.453125], [1536.87109375, 1538.125], [1538.54296875, 1538.9609375], [1539.37890625, 1540.6328125], [1541.259765625, 1541.259765625], [1541.677734375, 1542.3046875], [1542.72265625, 1542.72265625], [1543.767578125, 1544.185546875], [1545.021484375, 1546.06640625], [1546.484375, 1546.484375], [1547.3203125, 1547.947265625], [1550.24609375, 1550.873046875], [1551.91796875, 1552.126953125], [1557.978515625, 1562.576171875], [1564.0390625, 1564.248046875], [1566.12890625, 1566.337890625], [1568.009765625, 1583.056640625], [1583.474609375, 1583.474609375], [1584.1015625, 1584.9375], [1585.35546875, 1585.35546875], [1586.19140625, 1587.236328125], [1588.28125, 1592.669921875], [1594.1328125, 1594.341796875], [1594.759765625, 1594.759765625], [1595.177734375, 1595.177734375], [1597.05859375, 1597.267578125], [1597.685546875, 1598.3125], [1599.775390625, 1599.775390625], [1601.029296875, 1601.029296875], [1601.447265625, 1605.626953125], [1618.79296875, 1619.2109375], [1622.13671875, 1622.13671875], [1623.181640625, 1623.181640625]]"
47,J0918-1205_offset,2020-07-16T14:17:26.000,8h26m01.91s,"(910.126953125, 1649.931640625)","[[910.126953125, 934.369140625], [934.787109375, 939.802734375], [940.84765625, 941.474609375], [941.892578125, 943.7734375], [946.490234375, 946.69921875], [947.326171875, 947.744140625], [948.162109375, 948.37109375], [950.87890625, 951.087890625], [951.71484375, 951.71484375], [952.1328125, 952.96875], [953.38671875, 969.896484375], [970.314453125, 971.568359375], [971.986328125, 972.404296875], [973.240234375, 973.240234375], [973.658203125, 973.658203125], [974.703125, 974.703125], [975.5390625, 975.5390625], [977.62890625, 977.62890625], [978.046875, 978.046875], [978.673828125, 978.673828125], [979.927734375, 979.927734375], [980.345703125, 980.345703125], [980.97265625, 980.97265625], [981.390625, 981.390625], [982.017578125, 982.017578125], [982.435546875, 982.435546875], [983.0625, 984.107421875], [984.734375, 984.734375], [985.15234375, 985.779296875], [986.40625, 987.033203125], [987.451171875, 1021.724609375], [1022.142578125, 1022.142578125], [1022.560546875, 1023.1875], [1024.44140625, 1024.650390625], [1025.068359375, 1025.068359375], [1025.486328125, 1025.486328125], [1107.826171875, 1108.03515625], [1142.7265625, 1142.7265625], [1143.353515625, 1143.353515625], [1143.771484375, 1152.548828125], [1159.86328125, 1164.04296875], [1167.595703125, 1185.150390625], [1188.494140625, 1252.234375], [1252.65234375, 1256.205078125], [1259.966796875, 1282.955078125], [1285.044921875, 1292.359375], [1355.681640625, 1355.681640625], [1359.65234375, 1359.65234375], [1360.279296875, 1360.48828125], [1361.115234375, 1361.115234375], [1363.83203125, 1363.83203125], [1364.25, 1364.25], [1365.0859375, 1365.0859375], [1365.50390625, 1366.966796875], [1367.384765625, 1392.044921875], [1392.462890625, 1392.462890625], [1393.08984375, 1393.08984375], [1420.2578125, 1420.2578125], [1485.669921875, 1485.669921875], [1488.595703125, 1488.595703125], [1489.849609375, 1489.849609375], [1490.267578125, 1490.267578125], [1490.89453125, 1490.89453125], [1491.521484375, 1491.939453125], [1492.357421875, 1492.357421875], [1493.193359375, 1493.40234375], [1493.8203125, 1494.23828125], [1494.865234375, 1494.865234375], [1495.4921875, 1495.4921875], [1496.328125, 1496.955078125], [1497.373046875, 1499.880859375], [1500.298828125, 1500.298828125], [1500.92578125, 1500.92578125], [1501.76171875, 1501.76171875], [1502.1796875, 1502.388671875], [1502.806640625, 1502.806640625], [1503.43359375, 1503.43359375], [1504.060546875, 1504.060546875], [1504.6875, 1504.6875], [1505.314453125, 1505.314453125], [1506.568359375, 1507.404296875], [1508.03125, 1508.03125], [1508.44921875, 1508.44921875], [1509.494140625, 1509.494140625], [1511.166015625, 1511.166015625], [1517.64453125, 1517.64453125], [1526.00390625, 1526.83984375], [1527.2578125, 1528.302734375], [1529.138671875, 1529.138671875], [1529.974609375, 1529.974609375], [1531.228515625, 1531.228515625], [1532.064453125, 1532.064453125], [1532.69140625, 1532.69140625], [1534.154296875, 1534.154296875], [1534.78125, 1534.990234375], [1535.408203125, 1535.408203125], [1536.244140625, 1536.453125], [1536.87109375, 1538.125], [1538.54296875, 1538.9609375], [1539.37890625, 1540.6328125], [1541.88671875, 1542.3046875], [1542.72265625, 1542.72265625], [1543.55859375, 1544.185546875], [1544.603515625, 1544.603515625], [1545.021484375, 1546.06640625], [1547.3203125, 1548.15625], [1548.57421875, 1548.57421875], [1550.455078125, 1550.873046875], [1551.91796875, 1551.91796875], [1557.978515625, 1562.78515625], [1563.412109375, 1592.87890625], [1593.71484375, 1593.923828125], [1594.341796875, 1595.177734375], [1597.89453125, 1598.103515625], [1599.775390625, 1608.34375]]"
48,Unknown,2020-04-08T17:52:01.000,8h36m01.6s,"(910.3359375, 1649.3046875)","[[935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.953125], [955.4765625, 959.65625], [965.5078125, 965.5078125], [1044.921875, 1045.7578125], [1048.265625, 1048.265625], [1049.9375, 1050.7734375], [1052.4453125, 1052.4453125], [1054.1171875, 1054.1171875], [1066.65625, 1066.65625], [1068.328125, 1068.328125], [1070.0, 1070.0], [1072.5078125, 1072.5078125], [1091.734375, 1094.2421875], [1097.5859375, 1108.453125], [1110.125, 1110.125], [1111.796875, 1112.6328125], [1114.3046875, 1114.3046875], [1130.1875, 1130.1875], [1131.859375, 1131.859375], [1141.0546875, 1141.0546875], [1142.7265625, 1153.59375], [1155.265625, 1156.1015625], [1157.7734375, 1157.7734375], [1159.4453125, 1195.390625], [1197.0625, 1224.6484375], [1227.15625, 1231.3359375], [1244.7109375, 1279.8203125], [1398.5234375, 1398.5234375], [1404.375, 1404.375], [1406.046875, 1406.8828125], [1409.390625, 1410.2265625], [1419.421875, 1420.2578125], [1525.5859375, 1528.09375], [1529.765625, 1529.765625], [1532.2734375, 1532.2734375], [1535.6171875, 1535.6171875], [1537.2890625, 1538.125], [1539.796875, 1540.6328125], [1542.3046875, 1542.3046875], [1543.9765625, 1546.484375], [1548.15625, 1548.15625], [1550.6640625, 1550.6640625], [1559.0234375, 1562.3671875], [1569.0546875, 1581.59375], [1589.1171875, 1592.4609375], [1598.3125, 1626.734375]]"
49,Unknown,2020-04-08T17:44:41.000,4h08m27.24s,"(910.3359375, 1649.3046875)","[[935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.1171875], [955.4765625, 959.65625], [1029.0390625, 1029.0390625], [1045.7578125, 1046.59375], [1084.2109375, 1084.2109375], [1105.9453125, 1105.9453125], [1141.890625, 1224.6484375], [1227.15625, 1231.3359375], [1243.875, 1280.65625], [1420.2578125, 1420.2578125], [1525.5859375, 1525.5859375], [1527.2578125, 1528.09375], [1532.2734375, 1532.2734375], [1534.78125, 1535.6171875], [1537.2890625, 1540.6328125], [1542.3046875, 1542.3046875], [1543.9765625, 1546.484375], [1550.6640625, 1550.6640625], [1552.3359375, 1552.3359375], [1558.1875, 1562.3671875], [1564.0390625, 1586.609375], [1588.28125, 1592.4609375], [1598.3125, 1609.1796875]]"
50,Unknown,2020-04-08T17:44:11.000,4h08m27.24s,"(910.3359375, 1649.3046875)","[[935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.1171875], [955.4765625, 959.65625], [1028.203125, 1028.203125], [1039.0703125, 1039.0703125], [1042.4140625, 1044.0859375], [1045.7578125, 1047.4296875], [1049.1015625, 1050.7734375], [1070.8359375, 1070.8359375], [1084.2109375, 1084.2109375], [1085.8828125, 1085.8828125], [1088.390625, 1088.390625], [1106.78125, 1108.453125], [1110.125, 1110.125], [1112.6328125, 1112.6328125], [1125.171875, 1125.171875], [1128.515625, 1133.53125], [1135.203125, 1225.484375], [1227.15625, 1231.3359375], [1240.53125, 1281.4921875], [1420.2578125, 1420.2578125], [1525.5859375, 1525.5859375], [1527.2578125, 1528.09375], [1530.6015625, 1530.6015625], [1532.2734375, 1532.2734375], [1534.78125, 1535.6171875], [1537.2890625, 1538.125], [1539.796875, 1542.3046875], [1543.9765625, 1546.484375], [1550.6640625, 1550.6640625], [1552.3359375, 1552.3359375], [1558.1875, 1562.3671875], [1564.0390625, 1584.9375], [1586.609375, 1594.1328125], [1596.640625, 1609.1796875]]"
51,Unknown,2020-04-08T17:26:08.000,4h08m27.24s,"(910.3359375, 1649.3046875)","[[910.3359375, 932.90625], [935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.953125], [951.296875, 951.296875], [952.96875, 1016.5], [1018.171875, 1020.6796875], [1022.3515625, 1023.1875], [1024.859375, 1024.859375], [1142.7265625, 1153.59375], [1159.4453125, 1163.625], [1167.8046875, 1185.359375], [1188.703125, 1256.4140625], [1259.7578125, 1282.328125], [1286.5078125, 1292.359375], [1360.0703125, 1367.59375], [1369.265625, 1382.640625], [1384.3125, 1384.3125], [1385.984375, 1389.328125], [1391.0, 1391.0], [1393.5078125, 1393.5078125], [1420.2578125, 1420.2578125], [1492.1484375, 1492.1484375], [1493.8203125, 1493.8203125], [1497.1640625, 1497.1640625], [1498.8359375, 1498.8359375], [1500.5078125, 1500.5078125], [1502.1796875, 1503.015625], [1504.6875, 1506.359375], [1519.734375, 1519.734375], [1525.5859375, 1525.5859375], [1527.2578125, 1528.09375], [1529.765625, 1530.6015625], [1532.2734375, 1532.2734375], [1533.9453125, 1533.9453125], [1535.6171875, 1535.6171875], [1537.2890625, 1538.125], [1539.796875, 1540.6328125], [1542.3046875, 1542.3046875], [1543.9765625, 1546.484375], [1550.6640625, 1550.6640625], [1552.3359375, 1552.3359375], [1558.1875, 1592.4609375], [1598.3125, 1607.5078125], [1622.5546875, 1623.390625]]"
52,Unknown,2020-04-08T17:24:58.000,4h08m27.24s,"(910.3359375, 1649.3046875)","[[910.3359375, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.953125], [955.4765625, 1022.3515625], [1024.859375, 1024.859375], [1142.7265625, 1152.7578125], [1160.28125, 1163.625], [1167.8046875, 1184.5234375], [1188.703125, 1256.4140625], [1259.7578125, 1282.328125], [1286.5078125, 1291.5234375], [1349.203125, 1349.203125], [1351.7109375, 1351.7109375], [1353.3828125, 1390.1640625], [1391.8359375, 1393.5078125], [1420.2578125, 1420.2578125], [1478.7734375, 1478.7734375], [1482.1171875, 1482.1171875], [1483.7890625, 1483.7890625], [1486.296875, 1507.1953125], [1508.8671875, 1508.8671875], [1510.5390625, 1510.5390625], [1525.5859375, 1528.09375], [1529.765625, 1530.6015625], [1532.2734375, 1532.2734375], [1533.9453125, 1540.6328125], [1542.3046875, 1546.484375], [1550.6640625, 1550.6640625], [1552.3359375, 1552.3359375], [1558.1875, 1592.4609375], [1598.3125, 1605.8359375]]"
53,Unknown,2020-04-08T17:18:57.000,8h36m01.6s,"(910.3359375, 1649.3046875)","[[910.3359375, 933.7421875], [935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.953125], [951.296875, 987.2421875], [988.9140625, 1018.171875], [1144.3984375, 1151.0859375], [1152.7578125, 1152.7578125], [1160.28125, 1163.625], [1168.640625, 1184.5234375], [1189.5390625, 1193.71875], [1196.2265625, 1257.25], [1259.7578125, 1282.328125], [1286.5078125, 1292.359375], [1365.0859375, 1365.0859375], [1367.59375, 1379.296875], [1380.96875, 1380.96875], [1384.3125, 1384.3125], [1386.8203125, 1386.8203125], [1420.2578125, 1420.2578125], [1491.3125, 1491.3125], [1494.65625, 1495.4921875], [1502.1796875, 1502.1796875], [1520.5703125, 1520.5703125], [1525.5859375, 1528.09375], [1529.765625, 1529.765625], [1532.2734375, 1532.2734375], [1533.9453125, 1535.6171875], [1537.2890625, 1540.6328125], [1542.3046875, 1546.484375], [1552.3359375, 1552.3359375], [1558.1875, 1562.3671875], [1564.0390625, 1592.4609375], [1598.3125, 1598.3125], [1599.984375, 1602.4921875], [1605.0, 1605.8359375]]"
54,Unknown,2020-04-08T17:11:55.000,8h36m01.6s,"(910.3359375, 1649.3046875)","[[910.3359375, 932.90625], [935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 947.953125], [955.4765625, 1019.0078125], [1020.6796875, 1020.6796875], [1117.6484375, 1117.6484375], [1146.90625, 1151.0859375], [1161.1171875, 1161.1171875], [1168.640625, 1183.6875], [1191.2109375, 1191.2109375], [1200.40625, 1257.25], [1259.7578125, 1281.4921875], [1287.34375, 1290.6875], [1344.1875, 1345.0234375], [1347.53125, 1347.53125], [1349.203125, 1394.34375], [1419.421875, 1420.2578125], [1488.8046875, 1488.8046875], [1491.3125, 1494.65625], [1496.328125, 1497.1640625], [1499.671875, 1501.34375], [1508.8671875, 1508.8671875], [1525.5859375, 1528.09375], [1530.6015625, 1530.6015625], [1532.2734375, 1532.2734375], [1534.78125, 1538.125], [1539.796875, 1540.6328125], [1542.3046875, 1542.3046875], [1543.9765625, 1546.484375], [1548.9921875, 1548.9921875], [1559.859375, 1591.625], [1599.984375, 1600.8203125], [1602.4921875, 1606.671875]]"
55,Unknown,2020-04-08T17:07:57.000,8h36m01.6s,"(910.3359375, 1649.3046875)","[[910.3359375, 932.0703125], [935.4140625, 939.59375], [941.265625, 941.265625], [942.9375, 943.7734375], [946.28125, 947.953125], [949.625, 1018.171875], [1147.7421875, 1151.0859375], [1168.640625, 1183.6875], [1200.40625, 1255.578125], [1260.59375, 1281.4921875], [1288.1796875, 1290.6875], [1345.859375, 1345.859375], [1350.0390625, 1394.34375], [1419.421875, 1420.2578125], [1488.8046875, 1488.8046875], [1492.984375, 1493.8203125], [1497.1640625, 1497.1640625], [1498.8359375, 1498.8359375], [1501.34375, 1502.1796875], [1506.359375, 1506.359375], [1525.5859375, 1528.09375], [1530.6015625, 1530.6015625], [1532.2734375, 1532.2734375], [1533.9453125, 1535.6171875], [1537.2890625, 1538.125], [1539.796875, 1542.3046875], [1543.9765625, 1546.484375], [1548.15625, 1548.15625], [1550.6640625, 1550.6640625], [1553.171875, 1553.171875], [1559.0234375, 1605.0]]"
